Name,Year,Industries,Social Links
Conveo,2024,['AI\nSoftware'],['https://www.conveo.ai/']
Four Times One,2024,['Creative-Sector\nLifestyle\nE-commerce\nFashion'],[]
eMindBrowser,2024,['AI\nHealth\nAnalytics'],['https://www.emindbrowser.com']
Boostifai,2024,['Software\nE-commerce\nMarketing'],"['https://www.facebook.com/boostifai', 'https://www.linkedin.com/in/bert-vissers-3496794/', 'https://www.twitter.com//', 'https://Boostifai.com']"
ClubCubby,2024,['IOT/Drones/Hardware\nSoftware\nEvents\nGovtech\nHoreca\nHardware'],"['https://www.facebook.com/profile.php?id=61556767127665', '/', 'https://www.twitter.com//', 'https://club-cubby.com/']"
Und uli,2024,['Fashion'],"['-', '-', 'https://www.twitter.com/-', 'https://und-uli.com']"
ELVAT,2024,['Food&Beverage'],"['https://www.linkedin.com/company/elvatworld', 'https://www.twitter.com/elvatworld', 'https://elvat.io/']"
BEON,2024,['Creative-Sector\nSoftware'],[]
BlendUp,2024,['Food&Beverage\nE-commerce\nMarketing'],"['https://www.facebook.com/BlendUpMoment', 'https://www.linkedin.com/company/blendupmoment/', 'https://www.twitter.com/-', 'https://Www.blend-up.be']"
Done-it International,2024,['Health\nSoftware\nEnterprise-Software\nGovtech\nAgriculture\nProcess-Optimization\nConstruction'],"['-', '-', 'https://www.twitter.com/-', 'https://www.done-it.app']"
Klar,2024,['Health\nLifestyle'],['https://www.klarearplugs.com']
AILOS,2024,['Hardware'],['https://ailos-robotics.com']
Levacells,2024,['AI\nHealth'],"['-', '-', 'https://www.twitter.com/-', 'https://levacells.com']"
Your-Tickets BV,2024,['Software\nEvents\nICT\nHardware'],"['https://www.linkedin.com/company/your-tickets-be', 'https://www.your-tickets.be']"
Powernaut,2024,['AI\nAnalytics\nSoftware\nEnterprise-Software\nEnergy\nSustainability\nData'],"['N/A', 'https://www.linkedin.com/company/powernaut/', 'https://www.twitter.com/N/A', 'https://powernaut.io']"
eConnection,2024,['Energy'],"['https://www.linkedin.com/company/econnection-belgium', 'https://econnection.be']"
on-kruid,2024,['Food&Beverage\nSocial-Entrepreneurship\nE-commerce\nAgriculture\nSustainability'],['https://on-kruid.be']
Eco Tire Solutions,2024,['Health\nHardware'],"['https://www.facebook.com/profile.php?id=100085855495162', 'https://www.linkedin.com/company/ecotiresolutions/', 'https://www.twitter.com/-', 'https://ecotiresolutions.be']"
RESULTX,2024,['Software\nSustainability'],"['-', 'https://www.linkedin.com/company/resultxai/', 'https://www.twitter.com/-', 'https://resultx.ai']"
Accelerate.ai,2024,['AI\nProcess-Optimization\nData\nBusiness-Intelligence'],['https://www.accelerate.ai']
MISMAS,2024,['Sports\nE-commerce\nFashion'],"['https://www.facebook.com/mismasbelgium/', 'https://www.linkedin.com/company/31425346/admin/feed/posts/', 'https://www.twitter.com/-', 'https://www.mismas.be']"
INNATIFY,2024,['Health\nSoftware'],"['-', 'https://www.linkedin.com/in/scott-russell-healthtech?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app', 'https://www.twitter.com/-', 'https://innatify.com']"
Comitty,2024,['Events\nAdvertising\nMarket Places'],['https://comitty.be']
Nuclivision,2024,['AI\nHealth'],['https://www.nuclivision.com']
Mantis Photonics BV,2024,['Health\nHardware'],"['https://www.linkedin.com/company/mantis-photonics-ab', 'https://mantis-photonics.com/']"
Dateable,2024,['Lifestyle'],['https://www.dateable.be']
REHAMOT,2024,['Health'],"['https://www.facebook.com/profile.php?id=61551667153775', 'https://www.linkedin.com/company/98936464/admin/feed/posts/', 'https://www.twitter.com/-', 'https://www.rehamot.be']"
ThreatExposure,2024,['Security\nICT'],['https://www.threatexposure.eu']
Garden Stack/ Fontaine Farm,2024,['E-commerce\nAgriculture\nHome-and-garden'],"['https://www.twitter.com/Garden_Stack', 'https://garden-stack.com']"
The Cornerstone,2024,['AI\nAnalytics\nSoftware\nEnterprise-Software\nSustainability\nConstruction'],"['-', 'https://www.linkedin.com/company/64766818/admin/feed/posts/', 'https://www.twitter.com/-', 'https://thecornerstone.be/']"
Occam Labs,2024,['Fintech\nSoftware\nLegal\nEnterprise-Software'],['https://occamlabs.be']
Datatopia,2024,['AI\nHealth\nAnalytics\nSoftware\nData\nSupply-Chain'],['https://www.datatopia.care']
Ambiorix,2024,['Health\nHardware'],['https://ambiorix.com']
Nutrimi,2024,['Food&Beverage\nHealth\nFMCG\nE-commerce'],['https://nutrimi.be']
eConnection,2024,['Energy'],"['https://www.linkedin.com/company/econnection-belgium', 'https://econnection.be']"
RESULTX,2024,['Software\nSustainability'],"['-', 'https://www.linkedin.com/company/resultxai/', 'https://www.twitter.com/-', 'https://resultx.ai']"
Eco Tire Solutions,2024,['Health\nHardware'],"['https://www.facebook.com/profile.php?id=100085855495162', 'https://www.linkedin.com/company/ecotiresolutions/', 'https://www.twitter.com/-', 'https://ecotiresolutions.be']"
on-kruid,2024,['Food&Beverage\nSocial-Entrepreneurship\nE-commerce\nAgriculture\nSustainability'],['https://on-kruid.be']
Accelerate.ai,2024,['AI\nProcess-Optimization\nData\nBusiness-Intelligence'],['https://www.accelerate.ai']
Brainbox,2024,['AI\nSoftware\nEnterprise-Software'],['https://www.brbx.ai/']
Doorganiser,2024,['Software\nMarketing'],"['-', 'https://www.linkedin.com/company/doorganiser/', 'https://www.twitter.com/-', 'https://doorganiser.com']"
JewelKitPro,2024,['Creative-Sector\nSoftware'],"['https://www.facebook.com/profile.php?id=100091975845477', 'https://www.linkedin.com/company/jewelkitpro/', 'https://www.twitter.com/-', 'https://www.jewelkitpro.com']"
Sanza Cycle,2024,['Health'],['https://Sanzacycle.com']
Stageo,2024,['Software\nEvents'],['https://stageo.eu']
PROJECT UNBOUNDED (Lorette),2024,['Fashion'],[]
myIKKI,2024,['AI\nMatchmaking\nHR'],"['-', 'https://www.linkedin.com/company/ikki-app/', 'https://www.twitter.com/https://x.com/ikkidapp?s=21', 'https://www.myikki.be/']"
ImpactPilot,2024,['Software'],['https://impactpilot.io']
Persistent Security Industries,2024,['Software\nSecurity'],"['https://www.linkedin.com/company/persistent-security-industries', 'https://www.twitter.com/Persistent_Psi', 'https://www.persistent-security.net/']"
HappyKids,2024,['Matchmaking\nSports\nEvents\nLifestyle\nAdvertising\nMarket Places'],"['https://www.linkedin.com/company/happykidsbe', 'https://www.happykids.be']"
Rooting Corporel,2024,['Health'],['https://rootingcorporel.be']
Marie Bernadette Woehrl,2024,['Manufacturing\nLifestyle\nFashion'],"['/', 'https://www.linkedin.com/in/marie-bernadette-woehrl-082719196/', 'https://www.twitter.com//', 'https://www.mariebernadettewoehrl.com']"
Globe Drip,2024,['AI\nSoftware\nE-commerce\nProcess-Optimization\nFashion\nSustainability\nHardware'],"['https://www.facebook.com/globedrip', 'https://www.linkedin.com/in/achille-mathot-184355225/', 'https://www.twitter.com/-', 'https://globedrip.com']"
WeShre SRL,2024,['Events'],"['https://www.linkedin.com/company/weshre', 'https://www.weshre.com']"
OpStudio,2024,['SME-Productivity\nEnterprise-Software'],"['-', 'https://www.linkedin.com/company/opstudio-bv', 'https://www.twitter.com/-', 'https://opstudio.eu']"
saply.ai,2024,['AI\nMatchmaking\nHR\nSoftware\nEnterprise-Software'],"['-', 'https://www.linkedin.com/company/saply-ai/', 'https://www.twitter.com/-', 'https://www.saply.ai']"
JustLawyers,2024,['Software\nLegal'],"['-', 'https://www.linkedin.com/company/dex-legal/?viewAsMember=true', 'https://www.twitter.com/-', 'https://www.justlawyers.app']"
Collexy,2024,['E-commerce\nMarket Places\nData'],['https://www.collexy.com']
Foodiebotics,2024,['IOT/Drones/Hardware\nAI\nFood&Beverage\nSoftware\nHoreca\nHardware'],['https://www.foodiebotics.com/']
